"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"7525","SD","Turner","TIESZEN MEMORIAL HOME",31,1,28,31
"7526","SD","Union","ALCESTER CARE AND REHAB CENTER, INC",8,1,4,1
"7527","SD","Union","BETHESDA OF BERESFORD",17,NA,10,20
"7528","SD","Union","PRAIRIE ESTATES CARE CENTER",22,NA,34,3
"7529","SD","Walworth","WALWORTH COUNTY CARE CENTER, INC",8,6,15,6
"7530","SD","Yankton","AVERA SISTER JAMES CARE CENTER",1,1,NA,NA
"7531","SD","Yankton","SD HUMAN SERVICES CENTER - GERIATRIC PROGRAM",4,NA,3,2
"7532","TN","Anderson","CHRISTIAN CARE CENTER OF BRISTOL",5,1,5,4
"7533","TN","Anderson","NHC HEALTHCARE, OAK RIDGE",40,3,40,37
"7534","TN","Anderson","NORRIS HEALTH AND REHABILITATION CENTER",25,NA,25,NA
"7535","TN","Anderson","SUMMIT VIEW OF ROCKY TOP",4,NA,4,3
"7536","TN","Anderson","THE WATERS OF CLINTON, LLC",4,3,2,3
"7537","TN","Bedford","GLEN OAKS HEALTH AND REHABILITATION",18,1,9,11
"7538","TN","Bedford","THE WATERS OF SHELBYVILLE, LLC",1,1,1,1
"7539","TN","Bledsoe","BLEDSOE COUNTY NURSING HOME",40,NA,27,17
"7540","TN","Blount","ASBURY PLACE AT MARYVILLE",26,3,26,25
"7541","TN","Blount","FAIRPARK HEALTH AND REHABILITATION",1,1,1,1
"7542","TN","Bradley","LIFE CARE CENTER OF CLEVELAND",2,NA,2,NA
"7543","TN","Bradley","SIGNATURE HEALTHCARE OF CLEVELAND",1,1,1,1
"7544","TN","Campbell","BEECH TREE HEALTH AND REHABILITATION",9,NA,17,5
"7545","TN","Campbell","TENNOVA LAFOLLETTE HEALTH AND REHAB CENTER",42,1,9,1
"7546","TN","Carroll","HUNTINGDON HEALTH & REHABILITATION CENTER",1,1,1,2
"7547","TN","Carter","HILLVIEW HEALTH CENTER",8,NA,7,7
"7548","TN","Carter","IVY HALL NURSING HOME",23,2,6,1
"7549","TN","Chester","HENDERSON HEALTH AND REHABILITATION CENTER",5,NA,2,NA
"7550","TN","Claiborne","CLAIBORNE HEALTH AND REHABILITATION CENTER",43,NA,43,43
"7551","TN","Claiborne","DIVERSICARE OF CLAIBORNE",29,NA,33,6
"7552","TN","Claiborne","TRI STATE HEALTH AND REHABILITATION CENTER",3,2,2,2
"7553","TN","Clay","CELINA HEALTH AND REHABILITATION CENTER",1,1,1,1
"7554","TN","Cocke","NEWPORT HEALTH AND REHABILITATION CENTER",24,NA,4,NA
"7555","TN","Cocke","TENNOVA NEWPORT CONVALESCENT CENTER",43,NA,41,1
"7556","TN","Coffee","NHC HEALTHCARE, TULLAHOMA",43,NA,43,1
"7557","TN","Cumberland","GOOD SAMARITAN SOCIETY - FAIRFIELD GLADE",11,3,3,4
"7558","TN","Cumberland","LIFE CARE CENTER OF CROSSVILLE",20,NA,NA,NA
"7559","TN","Cumberland","WHARTON NURSING HOME",22,1,13,21
"7560","TN","Cumberland","WYNDRIDGE HEALTH AND REHAB CTR",31,2,42,42
"7561","TN","Davidson","AHC CUMBERLAND",23,1,23,6
"7562","TN","Davidson","AHC VANCO",6,3,6,5
"7563","TN","Davidson","GOOD SAMARITAN HEALTH AND REHAB CENTER",43,3,43,NA
"7564","TN","Davidson","GRACE HEALTHCARE OF WHITES CREEK",4,2,3,2
"7565","TN","Davidson","LIFE CARE CENTER OF HICKORY WOODS",1,1,1,1
"7566","TN","Davidson","MCKENDREE VILLAGE",43,1,43,3
"7567","TN","Davidson","NHC PLACE AT THE TRACE",1,1,1,1
"7568","TN","Davidson","SIGNATURE HEALTHCARE OF MADISON",2,2,2,2
"7569","TN","Davidson","STONERIDGE HEALTH CARE, LLC",5,NA,5,5
"7570","TN","Davidson","THE HEALTH CENTER AT RICHLAND PLACE",1,1,1,1
"7571","TN","Davidson","THE MEADOWS",25,2,4,2
"7572","TN","Davidson","WEST MEADE PLACE",5,5,5,5
"7573","TN","Davidson","WOODCREST AT BLAKEFORD",14,2,6,4
"7574","TN","Decatur","AHC WESTWOOD",1,1,1,1
"7575","TN","DeKalb","NHC HEALTHCARE, SMITHVILLE",9,6,9,9
"7576","TN","Dyer","AHC DYERSBURG",23,1,25,2
"7577","TN","Dyer","OAKWOOD COMMUNITY LIVING CENTER",1,1,1,1
"7578","TN","Dyer","THE HIGHLANDS OF DYERSBURG HEALTH & REHAB",11,1,14,1
"7579","TN","Fayette","GALLAWAY HEALTH AND REHAB",1,NA,NA,NA
"7580","TN","Franklin","ELK RIVER HEALTH AND REHABILITATION OF WINCHESTER",20,NA,17,2
"7581","TN","Franklin","THE WATERS OF WINCHESTER, LLC",12,3,12,3
"7582","TN","Gibson","BAILEY PARK CLC",1,2,1,2
"7583","TN","Gibson","DOUGLAS HEALTH AND REHABILITATION",1,1,1,1
"7584","TN","Gibson","DYER NURSING AND REHABILITATION CENTER",43,1,43,43
"7585","TN","Gibson","NHC HEALTHCARE, MILAN",4,2,10,2
"7586","TN","Gibson","W D BILL MANNING TENNESSEE STATE VETERANS HOME",5,5,5,5
"7587","TN","Giles","AHC MEADOWBROOK",42,21,42,22
"7588","TN","Giles","ELK RIVER HEALTH & REHABILITATION OF ARDMORE",10,NA,9,2
"7589","TN","Giles","NHC HEALTHCARE, PULASKI",11,NA,11,6
"7590","TN","Grainger","RIDGEVIEW TERRACE OF LIFE CARE",43,NA,42,43
"7591","TN","Greene","LAUGHLIN HEALTH CARE CENTER",42,1,42,42
"7592","TN","Grundy","SIGNATURE HEALTHCARE OF MONTEAGLE REHAB & WELLNESS",1,1,1,1
"7593","TN","Hamblen","HERITAGE CENTER, THE",1,1,1,1
"7594","TN","Hamilton","ALEXIAN VILLAGE OF TENNESSEE",1,1,2,1
"7595","TN","Hamilton","HEALTH CENTER AT STANDIFER PLACE, THE",32,6,35,25
"7596","TN","Hamilton","LIFE CARE CENTER OF COLLEGEDALE",43,NA,NA,1
"7597","TN","Hamilton","LIFE CARE CENTER OF RED BANK",3,1,3,1
"7598","TN","Hamilton","NHC HEALTHCARE, CHATTANOOGA",2,NA,2,2
"7599","TN","Hamilton","SODDY-DAISY HEALTH CARE CENTER",42,17,20,20
"7600","TN","Hamilton","ST BARNABAS AT SISKIN HOSPITAL",17,NA,19,28
"7601","TN","Hamilton","WOODLAND TERRACE CARE AND REHAB",8,1,20,18
"7602","TN","Hancock","HANCOCK MANOR NURSING HOME",1,1,1,1
"7603","TN","Hardeman","PINE MEADOWS HEALTH CARE",1,1,1,1
"7604","TN","Hardin","AHC SAVANNAH",18,NA,22,22
"7605","TN","Hardin","HARBERT HILLS ACADEMY N H",2,NA,2,2
"7606","TN","Hardin","HARDIN CO NURSING HOME",3,1,1,1
"7607","TN","Hardin","HARDIN HOME",30,NA,29,NA
"7608","TN","Hardin","PARK REST HARDIN COUNTY HEALTH CENTER",30,NA,33,NA
"7609","TN","Hawkins","CHURCH HILL CARE & REHAB CTR",2,NA,2,1
"7610","TN","Haywood","AHC CRESTVIEW",34,4,35,11
"7611","TN","Henderson","BRIARWOOD COMMUNITY LIVING CENTER",2,1,1,1
"7612","TN","Henderson","LEXINGTON HEALTH CARE AND REHABILITATION, INC",1,1,1,1
"7613","TN","Henry","HENRY COUNTY HEALTHCARE CTR",26,3,2,1
"7614","TN","Henry","TOWNE SQUARE CARE OF PURYEAR",1,1,2,1
"7615","TN","Hickman","HICKMAN COMMUNITY NURSING HOME",31,1,11,13
"7616","TN","Hickman","LIFE CARE CENTER OF CENTERVILLE",2,3,3,3
"7617","TN","Humphreys","AHC WAVERLY",3,3,3,NA
"7618","TN","Jackson","MABRY HEALTH CARE",17,NA,3,11
"7619","TN","Jefferson","JEFFERSON COUNTY NURSING HOME",1,1,1,1
"7620","TN","Knox","BEVERLY PARK PLACE HEALTH AND REHAB",36,1,34,34
"7621","TN","Knox","HOLSTON HEALTH & REHABILITATION CENTER",4,NA,NA,NA
"7622","TN","Knox","ISLAND HOME PARK HEALTH AND REHAB",1,1,1,1
"7623","TN","Knox","NHC HEALTHCARE, FARRAGUT",2,2,2,2
"7624","TN","Knox","SERENE MANOR MEDICAL CTR.",18,12,17,12
"7625","TN","Knox","SHANNONDALE HEALTH CARE CENTER",21,NA,18,19
"7626","TN","Knox","SUMMIT VIEW OF FARRAGUT, LLC",19,1,26,1
"7627","TN","Lake","REELFOOT MANOR HEALTH AND REHAB",8,8,8,10
"7628","TN","Lake","SIGNATURE HEALTHCARE OF RIDGELY REHAB&WELLNESS CTR",1,1,1,1
"7629","TN","Lauderdale","LAUDERDALE COMMUNITY LIVING CENTER",9,2,6,1
"7630","TN","Lawrence","COUNTRYSIDE HEALTHCARE AND REHABILITATION",18,1,21,1
"7631","TN","Lawrence","NHC HEALTHCARE, LAWRENCEBURG",18,14,17,15
"7632","TN","Lawrence","NHC HEALTHCARE, SCOTT",8,1,3,5
"7633","TN","Lewis","AHC LEWIS COUNTY",6,6,6,6
"7634","TN","Lincoln","DONALSON CARE CENTER",3,NA,3,2
"7635","TN","Lincoln","ELK RIVER HEALTH & REHABILITATION OF FAYETTEVILLE",31,5,6,5
"7636","TN","Loudon","RIVER GROVE HEALTH AND REHABILITATION",22,1,15,4
"7637","TN","Macon","THE PALACE HEALTH CARE AND REHABILITATION CENTER",30,NA,13,3
"7638","TN","Madison","AHC FOREST COVE",19,NA,37,NA
"7639","TN","Madison","AHC NORTHBROOKE",43,20,43,43
"7640","TN","Madison","LAURELWOOD HEALTHCARE CENTER",28,2,18,1
"7641","TN","Madison","MAPLEWOOD HEALTH CARE CENTER",29,NA,27,23
"7642","TN","Madison","MISSION CONVALESCENT HOME",2,NA,2,NA
"7643","TN","Marshall","NHC HEALTHCARE, LEWISBURG",41,1,41,2
"7644","TN","Maury","LIFE CARE CENTER OF COLUMBIA",2,1,1,4
"7645","TN","Maury","MAGNOLIA HEALTHCARE AND REHABILITATION CENTER",15,1,24,1
"7646","TN","Maury","MT PLEASANT HEALTHCARE AND REHABILITATION",7,NA,7,4
"7647","TN","Maury","NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER",19,NA,35,21
"7648","TN","Maury","NHC HEALTHCARE, COLUMBIA",17,NA,3,1
"7649","TN","Maury","THE RESERVE AT SPRING HILL",2,2,2,2
"7650","TN","McMinn","ETOWAH HEALTH CARE CENTER",1,1,1,1
"7651","TN","McMinn","NHC HEALTHCARE, ATHENS",2,2,2,2
"7652","TN","McNairy","ADAMSVILLE HEALTHCARE AND REHABILITATION CENTER",5,1,8,1
"7653","TN","McNairy","AHC MCNAIRY COUNTY",42,2,42,42
"7654","TN","Meigs","GRACE HEALTHCARE OF DECATUR",2,1,13,1
"7655","TN","Monroe","MADISONVILLE HEALTH AND REHAB CENTER",17,NA,17,14
"7656","TN","Monroe","SWEETWATER NURSING CENTER",28,NA,23,2
"7657","TN","Montgomery","AMERICAN HEALTH COMMUNITIES OF CLARKSVILLE",12,12,12,13
"7658","TN","Montgomery","BEDROCKHC AT SPRING MEADOWS, LLC",1,1,1,1
"7659","TN","Montgomery","BRIGADIER GENERAL WENDELL H GILBERT TN STATE VETER",1,NA,1,NA
"7660","TN","Obion","OBION COUNTY NURSING HOME",32,NA,NA,NA
"7661","TN","Obion","THE WATERS OF UNION CITY , LLC",4,NA,NA,1
"7662","TN","Obion","UNION CITY NURSING AND REHABILITATION CENTER INC",23,NA,28,3
"7663","TN","Perry","PERRY COUNTY NURSING HOME",2,NA,2,NA
"7664","TN","Pickett","PICKETT CARE AND REHABILITATION CENTER",1,1,1,1
"7665","TN","Polk","LIFE CARE CENTER OF COPPER BASIN",10,2,11,4
"7666","TN","Putnam","BETHESDA HEALTH CARE CENTER",42,3,42,42
"7667","TN","Putnam","NHC HEALTHCARE, COOKEVILLE",20,NA,20,4
"7668","TN","Rhea","LAURELBROOK NURSING HOME",14,NA,13,NA
"7669","TN","Roane","HARRIMAN CARE & REHAB CENTER",4,NA,NA,NA
"7670","TN","Roane","RENAISSANCE TERRACE",10,3,10,3
"7671","TN","Roane","SIGNATURE HEALTHCARE OF ROCKWOOD REHAB & WELLNESS",2,NA,NA,NA
"7672","TN","Robertson","THE WATERS OF ROBERTSON, LLC",1,1,1,1
"7673","TN","Robertson","THE WATERS OF SPRINGFIELD LLC",35,NA,34,5
"7674","TN","Robertson","WHITE HOUSE HEALTH CARE INC",1,1,1,1
"7675","TN","Rutherford","ADAMSPLACE, LLC",3,NA,3,NA
"7676","TN","Rutherford","BOULEVARD TERRACE REHABILITATION AND NURSING HOME",2,2,2,2
"7677","TN","Rutherford","COMMUNITY CARE OF RUTHERFORD",40,3,35,3
"7678","TN","Rutherford","DIVERSICARE OF SMYRNA",25,7,30,11
"7679","TN","Rutherford","NHC HEALTHCARE, MURFREESBORO",11,NA,16,7
"7680","TN","Rutherford","TENNESSEE VETERANS HOME",1,1,1,1
"7681","TN","Scott","HUNTSVILLE HEALTH AND REHABILITATION",2,2,2,2
"7682","TN","Scott","ONEIDA NURSING AND REHAB CENTER",39,NA,38,NA
"7683","TN","Sequatchie","NHC HEALTHCARE, SEQUATCHIE",43,NA,2,2
"7684","TN","Sevier","FORT SANDERS SEVIER NURSING HOME",30,NA,27,1
"7685","TN","Sevier","SEVIERVILLE HEALTH AND REHABILITATION CENTER",34,1,35,34
"7686","TN","Shelby","AHC HARBOR VIEW",19,1,22,1
"7687","TN","Shelby","ALLEN MORGAN HEALTH AND REHABILITATION CENTER",28,NA,6,1
"7688","TN","Shelby","ALLENBROOKE NURSING AND REHABILITATION CENTER",3,3,3,3
"7689","TN","Shelby","APPLINGWOOD HEALTH CARE CENTER",4,1,5,2
"7690","TN","Shelby","AVE MARIA HOME",7,1,7,NA
"7691","TN","Shelby","BRIGHT GLADE HEALTH AND REHABILITATION CENTER INC",8,NA,8,4
"7692","TN","Shelby","CHRISTIAN CARE CENTER OF MEMPHIS",1,NA,1,NA
"7693","TN","Shelby","COLLIERVILLE NURSING AND REHABILITATION, LLC",41,2,41,40
"7694","TN","Shelby","CORDOVA WELLNESS AND REHABILITATION CENTER",1,NA,1,NA
"7695","TN","Shelby","GRACELAND REHABILITATION AND NURSING CARE CENTER",6,2,3,2
"7696","TN","Shelby","KIRBY PINES MANOR",28,NA,1,14
"7697","TN","Shelby","MEMPHIS JEWISH HOME",23,NA,6,NA
"7698","TN","Shelby","MIDTOWN CENTER FOR HEALTH AND REHABILITATION",7,NA,1,2
"7699","TN","Shelby","MILLINGTON HEALTHCARE CENTER",43,NA,43,NA
"7700","TN","Shelby","PARKWAY HEALTH AND REHABILITATION CENTER",34,3,27,5
"7701","TN","Shelby","QUINCE NURSING AND REHABILITATION CENTER, L L C",2,2,1,1
"7702","TN","Shelby","REGIONAL ONE HEALTH SUBACUTE CARE",31,NA,3,8
"7703","TN","Shelby","SIGNATURE HEALTHCARE OF MEMPHIS",1,1,1,1
"7704","TN","Shelby","SPRING GATE REHAB & HEALTHCARE CENTER",41,2,41,1
"7705","TN","Shelby","ST CLARE HEALTH AND REHAB, LLC",3,1,5,1
"7706","TN","Shelby","THE HIGHLANDS OF MEMPHIS HEALTH & REHABILITATION",1,1,1,1
"7707","TN","Shelby","THE VILLAGE AT GERMANTOWN",3,3,3,3
"7708","TN","Shelby","WHITEHAVEN COMMUNITY LIVING CENTER",1,1,18,1
"7709","TN","Smith","SMITH COUNTY HEALTH AND REHABILITATION",3,1,2,1
"7710","TN","Stewart","DIVERSICARE OF DOVER",4,NA,NA,NA
"7711","TN","Sullivan","ASBURY PLACE AT KINGSPORT",1,1,1,1
"7712","TN","Sullivan","BROOKHAVEN HEALTH AND REHABILITATION",18,5,13,2
"7713","TN","Sullivan","GREYSTONE HEALTH CARE CENTER",3,3,3,3
"7714","TN","Sullivan","HOLSTON MANOR",2,2,2,2
"7715","TN","Sullivan","VIVIANT HEALTHCARE OF BRISTOL",38,1,32,35
"7716","TN","Sumner","NHC PLACE SUMNER",21,8,21,20
"7717","TN","Sumner","THE WATERS OF GALLATIN, LLC",1,NA,NA,NA
"7718","TN","Tipton","AHC COVINGTON CARE",3,3,3,3
"7719","TN","Tipton","MAGNOLIA CREEK NURSING AND REHABILITATION",1,1,1,1
"7720","TN","Trousdale","HARTSVILLE CONVALESCENT CENTER",29,NA,29,NA
"7721","TN","Unicoi","CENTER ON AGING AND HEALTH",3,NA,4,2
"7722","TN","Warren","NHC HEALTHCARE, MCMINNVILLE",13,NA,13,2
"7723","TN","Warren","RAINTREE MANOR",28,NA,28,9
"7724","TN","Washington","FOUR OAKS HEALTH CARE CENTER",2,2,3,2
"7725","TN","Washington","NHC HEALTHCARE, JOHNSON CITY",7,7,7,7
"7726","TN","Washington","THE WATERS OF JOHNSON CITY, LLC",6,NA,4,7
"7727","TN","Wayne","WAYNESBORO HEALTH AND REHABILITATION CENTER",5,NA,1,1
"7728","TN","Weakley","AHC VANAYER",25,2,26,14
"7729","TN","Weakley","DIVERSICARE OF MARTIN",36,4,31,14
"7730","TN","Weakley","WEAKLEY COUNTY NURSING HOME",43,NA,NA,NA
"7731","TN","White","NHC HEALTHCARE, SPARTA",2,1,2,2
"7732","TN","Williamson","CLAIBORNE AND HUGHES HLTH CNTR",2,2,2,4
"7733","TN","Williamson","GRACE HEALTHCARE OF FRANKLIN",3,1,5,2
"7734","TN","Williamson","NHC PLACE AT COOL SPRINGS",1,1,1,1
"7735","TN","Williamson","SOMERFIELD AT THE HERITAGE",2,2,2,2
"7736","TN","Wilson","PAVILION-THS, LLC",7,4,4,4
"7737","TN","Wilson","QUALITY CENTER FOR REHABILITATION AND HEALING LLC",1,NA,NA,NA
"7738","TX","Anderson","GREENBRIER NURSING & REHABILITATION CENTER OF PALE",5,NA,5,NA
"7739","TX","Anderson","LEGACY AT TOWN CREEK",37,17,37,37
"7740","TX","Anderson","PALESTINE HEALTHCARE CENTER",2,1,2,2
"7741","TX","Anderson","TRUCARE LIVING CENTERS",17,2,14,NA
"7742","TX","Angelina","DIBOLL NURSING AND REHAB",1,NA,NA,NA
"7743","TX","Angelina","HUNTINGTON HEALTH CARE & REHABILITATION CENTER",4,NA,2,NA
"7744","TX","Angelina","KENNEDY HEALTH & REHAB",10,1,5,1
"7745","TX","Angelina","PARKWOOD IN THE PINES",1,2,2,1
"7746","TX","Aransas","ROCKPORT NURSING AND REHABILITATION CENTER",1,1,4,1
"7747","TX","Archer","VISTA LIVING OF ARCHER",3,NA,NA,2
"7748","TX","Armstrong","PALO DURO NURSING HOME",1,1,1,1
"7749","TX","Atascosa","LYTLE NURSING HOME",15,4,26,13
"7750","TX","Atascosa","POTEET NURSING AND REHABILITATION LP",11,NA,19,20
"7751","TX","Atascosa","RETAMA MANOR NURSING CENTER/JOURDANTON",26,NA,15,NA
"7752","TX","Atascosa","RETAMA MANOR NURSING CENTER/PLEASANTON NORTH",31,NA,NA,NA
"7753","TX","Austin","COLONIAL BELLE NURSING HOME",1,1,1,1
"7754","TX","Austin","COLONIAL BELLE NURSING HOME SEALY",36,NA,27,25
"7755","TX","Bailey","PARK VIEW NURSING CARE CENTER",20,3,11,19
"7756","TX","Bandera","CEDAR CREEK NURSING AND REHABILITATION CENTER",5,NA,NA,NA
"7757","TX","Bastrop","BASTROP NURSING CENTER",25,NA,16,NA
"7758","TX","Baylor","SEYMOUR REHABILITATION AND HEALTHCARE",2,NA,1,NA
"7759","TX","Bee","ARDEN PLACE OF BEEVILLE",1,NA,NA,1
"7760","TX","Bee","HACIENDA OAKS AT BEEVILLE",17,NA,17,NA
"7761","TX","Bell","CORNERSTONE GARDENS LLP",2,1,1,1
"7762","TX","Bell","CREEKSIDE TERRACE REHABILITATION",25,2,3,4
"7763","TX","Bell","INDIAN OAKS LIVING CENTER",7,2,10,3
"7764","TX","Bell","PARK PLACE MANOR INC",8,NA,NA,NA
"7765","TX","Bell","TLC WEST NURSING AND REHABILITATION",1,NA,NA,NA
"7766","TX","Bell","WELLINGTON REHABILITATION AND HEALTHCARE",1,NA,1,2
"7767","TX","Bell","WESTERN HILLS NURSING & REHABILITATION",1,1,1,1
"7768","TX","Bell","WESTON INN NUSRING AND REHABILITATION",1,NA,NA,NA
"7769","TX","Bell","WILL-O-BELL",13,NA,3,3
"7770","TX","Bexar","ALAMO HEIGHTS HEALTH AND REHABILITATION CENTER",22,NA,11,2
"7771","TX","Bexar","BLANCO VILLA OP, LLC",2,2,2,2
"7772","TX","Bexar","BRIDGEMOOR OF SAN ANTONIO",1,1,1,1
"7773","TX","Bexar","BUENA VIDA NURSING AND REHAB-SAN ANTONIO",8,NA,8,NA
"7774","TX","Bexar","GOLDEN ESTATES REHABILITATION CENTER",17,2,16,18
"7775","TX","Bexar","HARBOR VALLEY HEALTH AND REHABILITATION",1,NA,1,NA
"7776","TX","Bexar","HIGHLAND NURSING CENTER",5,NA,NA,NA
"7777","TX","Bexar","HUEBNER CREEK HEALTH & REHABILITATION CENTER",7,NA,7,7
"7778","TX","Bexar","LAS COLINAS OF WESTOVER",22,2,20,13
"7779","TX","Bexar","LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST S",8,6,5,6
"7780","TX","Bexar","LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER -",3,3,3,3
"7781","TX","Bexar","MCCULLOUGH HALL NURSING CENTER INC",7,NA,5,3
"7782","TX","Bexar","MEMORIAL MEDICAL NURSING CENTER",3,NA,NA,NA
"7783","TX","Bexar","MERIDIAN CARE",9,5,5,5
"7784","TX","Bexar","MERIDIAN CARE AT GRAYSON SQUARE",13,3,9,3
"7785","TX","Bexar","MERIDIAN CARE MONTE VISTA",2,2,2,2
"7786","TX","Bexar","MESA VISTA INN HEALTH CENTER",1,NA,1,NA
"7787","TX","Bexar","MORNINGSIDE MANOR",3,NA,12,NA
"7788","TX","Bexar","MYSTIC PARK NURSING & REHABILITATION CENTER",2,NA,2,NA
"7789","TX","Bexar","NORMANDY TERRACE NURSING & REHABILITATION CENTER",25,NA,14,6
"7790","TX","Bexar","NORTHEAST REHABILITATION AND HEALTHCARE CENTER",5,4,7,4
"7791","TX","Bexar","NORTHGATE HEALTH AND REHABILITATION CENTER",7,NA,NA,NA
"7792","TX","Bexar","OAK PARK NURSING AND REHABILITATION CENTER",10,NA,10,7
"7793","TX","Bexar","PATRIOT HEIGHTS HEALTH CARE CENTER",10,5,6,5
"7794","TX","Bexar","PECAN VALLEY REHABILITATION AND HEALTHCARE",24,NA,NA,NA
"7795","TX","Bexar","PRINCETON PLACE REHABILITATION & HEALTHCARE BANDER",7,2,6,3
"7796","TX","Bexar","REGENT CARE AT MEDICAL CENTER",10,NA,12,1
"7797","TX","Bexar","REGENT CARE CENTER OAKWELL FARMS",2,1,2,1
"7798","TX","Bexar","RETAMA MANOR NURSING CENTER/SAN ANTONIO NORTH",2,NA,NA,NA
"7799","TX","Bexar","RETAMA MANOR NURSING CENTER/SAN ANTONIO WEST",26,NA,2,NA
"7800","TX","Bexar","RIVER CITY CARE CENTER",2,NA,2,NA
"7801","TX","Bexar","ROSEWOOD REHABILITATION AND CARE CENTER",18,NA,9,10
"7802","TX","Bexar","SAINT FRANCIS NURSING HOME",6,2,5,4
"7803","TX","Bexar","SAN ANTONIO RESIDENCE AND REHABILITATION CENTER",8,NA,NA,1
"7804","TX","Bexar","SAN PEDRO MANOR",21,17,21,21
"7805","TX","Bexar","SILVER CREEK MANOR",15,NA,NA,NA
"7806","TX","Bexar","SOUTHEAST NURSING & REHABILITATION CENTER",4,1,2,NA
"7807","TX","Bexar","SUNRISE NURSING & REHAB CENTER",1,1,1,1
"7808","TX","Bexar","THE ATRIUM REHABILITATION CENTER",15,4,14,15
"7809","TX","Bexar","THE FORUM AT LINCOLN HEIGHTS",4,4,4,4
"7810","TX","Bexar","THE MISSION AT AIR FORCE VILLAGE",1,1,1,1
"7811","TX","Bexar","THE RIO AT MISSION TRAILS",8,NA,8,NA
"7812","TX","Bexar","THE SARAH ROBERTS FRENCH HOME",28,3,18,2
"7813","TX","Bexar","WESTOVER HILLS REHABILITATION AND HEALTHCARE",1,1,1,1
"7814","TX","Bexar","WINDCREST NURSING AND REHABILITATION",11,NA,10,2
"7815","TX","Bexar","WINDSOR MISSION OAKS",17,NA,17,17
"7816","TX","Bexar","WURZBACH NURSING AND REHABILITATION",4,1,1,3
"7817","TX","Blanco","LBJ MEDICAL CENTER",2,NA,2,NA
"7818","TX","Bosque","GOODALL WITCHER NURSING FACILITY",1,NA,NA,NA
"7819","TX","Bosque","SUNSET HOME",34,NA,35,29
"7820","TX","Bosque","THE HILLTOP ON MAIN",39,NA,25,19
"7821","TX","Bowie","EDGEWOOD MANOR",1,1,1,1
"7822","TX","Bowie","HERITAGE PLAZA NURSING CENTER",10,NA,4,NA
"7823","TX","Bowie","PONDEROSA NURSING AND REHABILITATION CENTER",3,NA,9,1
"7824","TX","Bowie","THE VILLA AT TEXARKANA",4,3,3,3
"7825","TX","Brazoria","CLUTE LTC PARTNERS, INC.",1,NA,NA,NA
"7826","TX","Brazoria","COUNTRY VILLAGE CARE",14,1,10,NA
"7827","TX","Brazoria","CYPRESS WOODS CARE CENTER",16,1,16,15
"7828","TX","Brazoria","SWEENY HOUSE",19,NA,2,NA
"7829","TX","Brazoria","THE COLONNADES AT REFLECTION BAY",1,NA,2,NA
"7830","TX","Brazoria","TUSCANY VILLAGE",3,1,2,NA
"7831","TX","Brazoria","WINCHESTER LODGE HEALTHCARE CENTER",30,NA,13,NA
"7832","TX","Brazoria","WINDSONG CARE CENTER",1,NA,2,NA
"7833","TX","Brazos","ACCEL AT COLLEGE STATION",3,NA,13,NA
"7834","TX","Brazos","FORTRESS NURSING AND REHABILITATION",8,NA,8,7
"7835","TX","Brazos","LAMPSTAND NURSING AND REHABILITATION",8,NA,8,7
"7836","TX","Brazos","LEGACY NURSING AND REHABILITATION",2,NA,2,1
"7837","TX","Brooks","FALFURRIAS NURSING AND REHABILITATION LP",1,NA,1,NA
"7838","TX","Brown","BANGS NURSING AND REHABILITATION CENTER",18,NA,NA,NA
"7839","TX","Brown","CARE NURSING & REHABILITATION",5,NA,5,NA
"7840","TX","Brown","OAK RIDGE MANOR",8,NA,8,7
"7841","TX","Brown","SENIOR CARE OF BROWNWOOD",1,1,1,1
"7842","TX","Burleson","COPPERAS HOLLOW NURSING & REHABILITATION CENTER",6,2,6,3
"7843","TX","Burnet","BERTRAM NURSING AND REHABILITATION",13,2,11,19
"7844","TX","Burnet","GRANITE MESA HEALTH CENTER",5,NA,3,1
"7845","TX","Burnet","OAKS NURSING CENTER",24,NA,24,NA
"7846","TX","Caldwell","LULING CARE CENTER",13,NA,10,3
"7847","TX","Caldwell","MAGNOLIA LIVING AND REHABILITATION",8,NA,9,6
"7848","TX","Caldwell","PARKVIEW NURSING AND REHABILITATION CENTER",37,NA,37,NA
"7849","TX","Calhoun","BETHANY SENIOR LIVING",3,2,4,2
"7850","TX","Callahan","HOMESTEAD NURSING AND REHABILITATION OF BAIRD",5,NA,7,2
"7851","TX","Cameron","BROWNSVILLE NURSING AND REHABILITATION CENTER",17,1,17,4
"7852","TX","Cameron","EBONY LAKE NURSING AND REHABILITATION CENTER",3,4,3,2
"7853","TX","Cameron","FOX HOLLOW POST ACUTE",2,NA,4,1
"7854","TX","Cameron","GOLDEN PALMS RETIREMENT AND HEALTH CENTER",1,1,1,1
"7855","TX","Cameron","HARLINGEN NURSING AND REHABILITATION CENTER",8,NA,NA,NA
"7856","TX","Cameron","RETAMA MANOR NURSING CENTER/HARLINGEN",2,NA,NA,NA
"7857","TX","Cameron","SCC AT VALLEY GRANDE",4,1,3,1
