"","Provider.State","County","Provider.Name","Number_of_Available_Beds_by_Provider","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"12879","TN","Sullivan","ASBURY PLACE AT KINGSPORT",992,NA,NA,NA
"12880","TN","Sullivan","BROOKHAVEN HEALTH AND REHABILITATION",4672,NA,NA,NA
"12881","TN","Sullivan","GREYSTONE HEALTH CARE CENTER",3302,722,1,0.001
"12882","TN","Sullivan","HOLSTON MANOR",4307,NA,NA,NA
"12883","TN","Sullivan","NHC HEALTHCARE, KINGSPORT",849,NA,NA,NA
"12884","TN","Sullivan","VIVIANT HEALTHCARE OF BRISTOL",3311,NA,NA,NA
"12885","TN","Sullivan","WEXFORD HOUSE, THE",2016,1376,510,0.371
"12886","TN","Sumner","GALLATIN HEALTH CARE CENTER, LLC",3633,NA,NA,NA
"12887","TN","Sumner","NHC HEALTHCARE, HENDERSONVILLE",808,NA,NA,NA
"12888","TN","Sumner","NHC PLACE SUMNER",571,NA,NA,NA
"12889","TN","Sumner","SIGNATURE HEALTH OF PORTLAND REHAB & WELLNESS CENT",1720,NA,NA,NA
"12890","TN","Sumner","THE WATERS OF GALLATIN, LLC",2036,NA,NA,NA
"12891","TN","Sumner","WESTMORELAND CARE & REHAB CTR",740,NA,NA,NA
"12892","TN","Tipton","AHC COVINGTON CARE",1331,NA,NA,NA
"12893","TN","Tipton","MAGNOLIA CREEK NURSING AND REHABILITATION",2218,NA,NA,NA
"12894","TN","Trousdale","HARTSVILLE CONVALESCENT CENTER",932,NA,NA,NA
"12895","TN","Unicoi","CENTER ON AGING AND HEALTH",2274,NA,NA,NA
"12896","TN","Unicoi","CHRISTIAN CARE CENTER OF UNICOI COUNTY",191,NA,NA,NA
"12897","TN","Unicoi","ERWIN HEALTH CARE CENTER",1794,NA,NA,NA
"12898","TN","Union","WILLOW RIDGE CENTER",670,NA,NA,NA
"12899","TN","Van Buren","GENERATIONS CENTER OF SPENCER",82,NA,NA,NA
"12900","TN","Warren","NHC HEALTHCARE, MCMINNVILLE",678,NA,NA,NA
"12901","TN","Warren","RAINTREE MANOR",3241,NA,NA,NA
"12902","TN","Washington","AGAPE NURSING AND REHABILITATION CENTER, LLC",750,NA,NA,NA
"12903","TN","Washington","CORNERSTONE VILLAGE",1150,NA,NA,NA
"12904","TN","Washington","FOUR OAKS HEALTH CARE CENTER",789,NA,NA,NA
"12905","TN","Washington","LAKEBRIDGE, A WATERS COMMUNITY, LLC",811,NA,NA,NA
"12906","TN","Washington","LIFE CARE CENTER OF GRAY",2921,NA,NA,NA
"12907","TN","Washington","NHC HEALTHCARE, JOHNSON CITY",1260,NA,NA,NA
"12908","TN","Washington","PRINCETON TRANSITIONAL CARE & ASSISTED LIVING",2311,NA,NA,NA
"12909","TN","Washington","THE WATERS OF JOHNSON CITY, LLC",1060,NA,NA,NA
"12910","TN","Wayne","WAYNESBORO HEALTH AND REHABILITATION CENTER",1432,NA,NA,NA
"12911","TN","Weakley","AHC VANAYER",1425,NA,NA,NA
"12912","TN","Weakley","DIVERSICARE OF MARTIN",1617,NA,NA,NA
"12913","TN","Weakley","HILLVIEW COMMUNITY LIVING CENTER",1664,NA,NA,NA
"12914","TN","Weakley","WEAKLEY COUNTY NURSING HOME",2522,NA,NA,NA
"12915","TN","White","LIFE CARE CENTER OF SPARTA",1648,NA,NA,NA
"12916","TN","White","NHC HEALTHCARE, SPARTA",262,NA,NA,NA
"12917","TN","Williamson","CLAIBORNE AND HUGHES HLTH CNTR",2164,NA,NA,NA
"12918","TN","Williamson","GRACE HEALTHCARE OF FRANKLIN",1128,NA,NA,NA
"12919","TN","Williamson","NHC HEALTHCARE, FRANKLIN",358,NA,NA,NA
"12920","TN","Williamson","NHC PLACE AT COOL SPRINGS",3302,NA,NA,NA
"12921","TN","Williamson","SOMERFIELD AT THE HERITAGE",570,NA,NA,NA
"12922","TN","Wilson","LEBANON CENTER FOR REHABILITATION AND HEALING, LLC",649,NA,NA,NA
"12923","TN","Wilson","MT JULIET HEALTH CARE CENTER",1143,NA,NA,NA
"12924","TN","Wilson","PAVILION-THS, LLC",389,NA,NA,NA
"12925","TN","Wilson","QUALITY CENTER FOR REHABILITATION AND HEALING LLC",2486,NA,NA,NA
"12926","TX","Anderson","ELKHART OAKS CARE CENTER",2161,NA,NA,NA
"12927","TX","Anderson","GREENBRIER NURSING & REHABILITATION CENTER OF PALE",3544,NA,NA,NA
"12928","TX","Anderson","LEGACY AT TOWN CREEK",2830,NA,NA,NA
"12929","TX","Anderson","PALESTINE HEALTHCARE CENTER",1659,NA,NA,NA
"12930","TX","Anderson","THE LEGACY MIDTOWN PARK",1564,NA,NA,NA
"12931","TX","Anderson","TRUCARE LIVING CENTERS",2310,NA,NA,NA
"12932","TX","Andrews","PERMIAN RESIDENTIAL CARE CENTER",1441,NA,NA,NA
"12933","TX","Angelina","CASTLE PINES HEALTH AND REHABILITATION",2054,NA,NA,NA
"12934","TX","Angelina","DIBOLL NURSING AND REHAB",2375,NA,NA,NA
"12935","TX","Angelina","HUNTINGTON HEALTH CARE & REHABILITATION CENTER",2454,NA,NA,NA
"12936","TX","Angelina","KENNEDY HEALTH & REHAB",3135,NA,NA,NA
"12937","TX","Angelina","LARKSPUR",2214,NA,NA,NA
"12938","TX","Angelina","PARKWOOD IN THE PINES",2608,NA,NA,NA
"12939","TX","Angelina","PINECREST RETIREMENT COMMUNITY",670,NA,NA,NA
"12940","TX","Angelina","SOUTHLAND REHABILITATION AND HEALTHCARE CENTER",3170,NA,NA,NA
"12941","TX","Aransas","GULF POINTE PLAZA",2584,NA,NA,NA
"12942","TX","Aransas","ROCKPORT NURSING AND REHABILITATION CENTER",811,NA,NA,NA
"12943","TX","Archer","VISTA LIVING OF ARCHER",160,NA,NA,NA
"12944","TX","Armstrong","PALO DURO NURSING HOME",1248,NA,NA,NA
"12945","TX","Atascosa","LYTLE NURSING HOME",774,NA,NA,NA
"12946","TX","Atascosa","POTEET NURSING AND REHABILITATION LP",1296,NA,NA,NA
"12947","TX","Atascosa","RETAMA MANOR NURSING CENTER/JOURDANTON",709,NA,NA,NA
"12948","TX","Atascosa","RETAMA MANOR NURSING CENTER/PLEASANTON NORTH",421,NA,NA,NA
"12949","TX","Atascosa","RETAMA MANOR NURSING CENTER/PLEASANTON SOUTH",720,NA,NA,NA
"12950","TX","Atascosa","THE HEIGHTS",982,NA,NA,NA
"12951","TX","Austin","BRIARWOOD MANOR CARE CENTER",2621,NA,NA,NA
"12952","TX","Austin","COLONIAL BELLE NURSING HOME",2513,NA,NA,NA
"12953","TX","Austin","COLONIAL BELLE NURSING HOME SEALY",1416,NA,NA,NA
"12954","TX","Bailey","PARK VIEW NURSING CARE CENTER",1768,NA,NA,NA
"12955","TX","Bandera","BANDERA NURSING & REHABILITATION",2542,NA,NA,NA
"12956","TX","Bandera","CEDAR CREEK NURSING AND REHABILITATION CENTER",1092,NA,NA,NA
"12957","TX","Bastrop","BASTROP LOST PINES NURSING AND REHABILITATION CENT",1201,NA,NA,NA
"12958","TX","Bastrop","BASTROP NURSING CENTER",1499,NA,NA,NA
"12959","TX","Bastrop","ELGIN NURSING AND REHABILITATION CENTER",1555,NA,NA,NA
"12960","TX","Bastrop","SILVER PINES NURSING AND REHABILITATION CENTER",661,NA,NA,NA
"12961","TX","Bastrop","TOWERS NURSING HOME",988,NA,NA,NA
"12962","TX","Baylor","SEYMOUR REHABILITATION AND HEALTHCARE",2133,NA,NA,NA
"12963","TX","Bee","ARDEN PLACE OF BEEVILLE",2165,NA,NA,NA
"12964","TX","Bee","HACIENDA OAKS AT BEEVILLE",2036,NA,NA,NA
"12965","TX","Bell","BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL SKIL",56,NA,NA,NA
"12966","TX","Bell","CORNERSTONE GARDENS LLP",1779,NA,NA,NA
"12967","TX","Bell","CREEKSIDE TERRACE REHABILITATION",1437,NA,NA,NA
"12968","TX","Bell","INDIAN OAKS LIVING CENTER",3450,NA,NA,NA
"12969","TX","Bell","KILLEEN NURSING & REHABILITATION",1353,NA,NA,NA
"12970","TX","Bell","MERIDIAN OF TEMPLE",1101,NA,NA,NA
"12971","TX","Bell","PARK PLACE MANOR INC",1062,NA,NA,NA
"12972","TX","Bell","REGENCY MANOR HEALTHCARE CENTER",2077,NA,NA,NA
"12973","TX","Bell","THE ROSEWOOD RETIREMENT COMMUNITY",978,NA,NA,NA
"12974","TX","Bell","TLC EAST NURSING AND REHABILITATION",1838,NA,NA,NA
"12975","TX","Bell","TLC WEST NURSING AND REHABILITATION",2289,946,339,0.358
"12976","TX","Bell","WELLINGTON REHABILITATION AND HEALTHCARE",2864,NA,NA,NA
"12977","TX","Bell","WESTERN HILLS NURSING & REHABILITATION",2430,NA,NA,NA
"12978","TX","Bell","WESTON INN NUSRING AND REHABILITATION",3045,NA,NA,NA
"12979","TX","Bell","WILL-O-BELL",1223,NA,NA,NA
"12980","TX","Bell","WILLIAM R COURTNEY TEXAS STATE VETERANS HOME",744,NA,NA,NA
"12981","TX","Bexar","ADVANCED REHABILITATION & HEALTHCARE OF LIVE OAK",1783,NA,NA,NA
"12982","TX","Bexar","ALAMO HEIGHTS HEALTH AND REHABILITATION CENTER",5840,NA,NA,NA
"12983","TX","Bexar","BLANCO VILLA OP, LLC",4522,NA,NA,NA
"12984","TX","Bexar","BRIDGEMOOR OF SAN ANTONIO",2614,473,0,0
"12985","TX","Bexar","BROOKDALE ALAMO HEIGHTS",1014,NA,NA,NA
"12986","TX","Bexar","BUENA VIDA NURSING AND REHAB-SAN ANTONIO",6102,NA,NA,NA
"12987","TX","Bexar","CORONADO AT STONE OAK",1521,NA,NA,NA
"12988","TX","Bexar","GOLDEN ESTATES REHABILITATION CENTER",1478,NA,NA,NA
"12989","TX","Bexar","HARBOR VALLEY HEALTH AND REHABILITATION",3136,NA,NA,NA
"12990","TX","Bexar","HERITAGE NURSING & REHABILITATION",3877,NA,NA,NA
"12991","TX","Bexar","HIGHLAND NURSING CENTER",674,NA,NA,NA
"12992","TX","Bexar","HUEBNER CREEK HEALTH & REHABILITATION CENTER",2639,NA,NA,NA
"12993","TX","Bexar","HUNTERS POND REHABILITATION AND HEALTHCARE",1765,NA,NA,NA
"12994","TX","Bexar","LAKESIDE NURSING AND REHABILITATION CENTER",1282,NA,NA,NA
"12995","TX","Bexar","LAS COLINAS OF WESTOVER",1856,NA,NA,NA
"12996","TX","Bexar","LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST S",1841,NA,NA,NA
"12997","TX","Bexar","LEGEND OAKS HEALTHCARE AND REHABILITATION CENTER -",2522,NA,NA,NA
"12998","TX","Bexar","MCCULLOUGH HALL NURSING CENTER INC",703,NA,NA,NA
"12999","TX","Bexar","MEMORIAL MEDICAL NURSING CENTER",2232,NA,NA,NA
"13000","TX","Bexar","MERIDIAN CARE",1364,2436,1481,0.608
"13001","TX","Bexar","MERIDIAN CARE AT GRAYSON SQUARE",1985,48,5,0.104
"13002","TX","Bexar","MERIDIAN CARE MONTE VISTA",3205,NA,NA,NA
"13003","TX","Bexar","MESA VISTA INN HEALTH CENTER",1786,NA,NA,NA
"13004","TX","Bexar","MORNINGSIDE MANOR",3851,NA,NA,NA
"13005","TX","Bexar","MYSTIC PARK NURSING & REHABILITATION CENTER",2178,NA,NA,NA
"13006","TX","Bexar","NORMANDY TERRACE NURSING & REHABILITATION CENTER",9210,NA,NA,NA
"13007","TX","Bexar","NORTHEAST REHABILITATION AND HEALTHCARE CENTER",2079,NA,NA,NA
"13008","TX","Bexar","NORTHGATE HEALTH AND REHABILITATION CENTER",2824,NA,NA,NA
"13009","TX","Bexar","OAK PARK NURSING AND REHABILITATION CENTER",1438,NA,NA,NA
"13010","TX","Bexar","PARKLANE WEST HEALTHCARE CENTER",1719,NA,NA,NA
"13011","TX","Bexar","PATRIOT HEIGHTS HEALTH CARE CENTER",1576,NA,NA,NA
"13012","TX","Bexar","PECAN VALLEY REHABILITATION AND HEALTHCARE",1573,NA,NA,NA
"13013","TX","Bexar","PRINCETON PLACE REHABILITATION & HEALTHCARE BANDER",2940,NA,NA,NA
"13014","TX","Bexar","REGENT CARE AT MEDICAL CENTER",3077,NA,NA,NA
"13015","TX","Bexar","REGENT CARE CENTER OAKWELL FARMS",4507,NA,NA,NA
"13016","TX","Bexar","REMINGTON TRANSITIONAL CARE OF SAN ANTONIO",360,NA,NA,NA
"13017","TX","Bexar","RETAMA MANOR NURSING CENTER/SAN ANTONIO NORTH",2189,NA,NA,NA
"13018","TX","Bexar","RETAMA MANOR NURSING CENTER/SAN ANTONIO WEST",2140,NA,NA,NA
"13019","TX","Bexar","RIVER CITY CARE CENTER",3615,NA,NA,NA
"13020","TX","Bexar","ROSEWOOD REHABILITATION AND CARE CENTER",1414,NA,NA,NA
"13021","TX","Bexar","SAINT FRANCIS NURSING HOME",2448,NA,NA,NA
"13022","TX","Bexar","SAN ANTONIO RESIDENCE AND REHABILITATION CENTER",2106,NA,NA,NA
"13023","TX","Bexar","SAN ANTONIO WELLNESS & REHABILITATION",2722,NA,NA,NA
"13024","TX","Bexar","SAN JOSE NURSING CENTER",1273,NA,NA,NA
"13025","TX","Bexar","SAN PEDRO MANOR",3409,NA,NA,NA
"13026","TX","Bexar","SILVER CREEK MANOR",1445,NA,NA,NA
"13027","TX","Bexar","SONTERRA HEALTH CENTER",2189,NA,NA,NA
"13028","TX","Bexar","SORRENTO",1495,NA,NA,NA
"13029","TX","Bexar","SOUTHEAST NURSING & REHABILITATION CENTER",2391,NA,NA,NA
"13030","TX","Bexar","STONE OAK CARE CENTER",1933,NA,NA,NA
"13031","TX","Bexar","SUNRISE NURSING & REHAB CENTER",1934,NA,NA,NA
"13032","TX","Bexar","THE ARMY RESIDENCE COMMUNITY HEALTH CARE CENTER",2127,NA,NA,NA
"13033","TX","Bexar","THE ATRIUM REHABILITATION CENTER",1665,NA,NA,NA
"13034","TX","Bexar","THE ENCLAVE",715,NA,NA,NA
"13035","TX","Bexar","THE FORUM AT LINCOLN HEIGHTS",1036,NA,NA,NA
"13036","TX","Bexar","THE HEIGHTS ON HUEBNER",1260,NA,NA,NA
"13037","TX","Bexar","THE MISSION AT AIR FORCE VILLAGE",1255,NA,NA,NA
"13038","TX","Bexar","THE RIO AT MISSION TRAILS",2243,1247,0,0
"13039","TX","Bexar","THE SARAH ROBERTS FRENCH HOME",486,NA,NA,NA
"13040","TX","Bexar","THE VISTA AT BLUE SKIES OF TEXAS WEST",1737,NA,NA,NA
"13041","TX","Bexar","WESTOVER HILLS REHABILITATION AND HEALTHCARE",1968,NA,NA,NA
"13042","TX","Bexar","WINDCREST NURSING AND REHABILITATION",4015,NA,NA,NA
"13043","TX","Bexar","WINDEMERE AT WESTOVER HILLS",1716,NA,NA,NA
"13044","TX","Bexar","WINDSOR MISSION OAKS",1013,NA,NA,NA
"13045","TX","Bexar","WURZBACH NURSING AND REHABILITATION",2069,NA,NA,NA
"13046","TX","Blanco","LBJ MEDICAL CENTER",331,NA,NA,NA
"13047","TX","Bosque","GOODALL WITCHER NURSING FACILITY",758,NA,NA,NA
"13048","TX","Bosque","SUNSET HOME",1269,NA,NA,NA
"13049","TX","Bosque","THE HILLTOP ON MAIN",1988,NA,NA,NA
"13050","TX","Bosque","WILLOW PARK REHABILITATION HEALTH CARE CENTER",2099,NA,NA,NA
"13051","TX","Bowie","CHRISTIAN CARE CENTER",2713,NA,NA,NA
"13052","TX","Bowie","CORNERSTONE RETIREMENT COMMUNITY",605,NA,NA,NA
"13053","TX","Bowie","EDGEWOOD MANOR",2310,NA,NA,NA
"13054","TX","Bowie","HERITAGE PLAZA NURSING CENTER",1933,NA,NA,NA
"13055","TX","Bowie","PONDEROSA NURSING AND REHABILITATION CENTER",1285,NA,NA,NA
"13056","TX","Bowie","REUNION PLAZA SENIOR CARE AND REHABILITATION CENTE",1850,NA,NA,NA
"13057","TX","Bowie","THE VILLA AT TEXARKANA",1682,NA,NA,NA
"13058","TX","Bowie","THE WATERTON AT COWHORN CREEK",1503,NA,NA,NA
"13059","TX","Brazoria","CLUTE LTC PARTNERS, INC.",1895,NA,NA,NA
"13060","TX","Brazoria","COUNTRY VILLAGE CARE",2611,NA,NA,NA
"13061","TX","Brazoria","CREEKSIDE VILLAGE HEALTHCARE LTC PARTNERS, INC",2564,NA,NA,NA
"13062","TX","Brazoria","CYPRESS WOODS CARE CENTER",1627,NA,NA,NA
"13063","TX","Brazoria","LAKE JACKSON HEALTHCARE CENTER",2853,NA,NA,NA
"13064","TX","Brazoria","LAUREL COURT",2180,NA,NA,NA
"13065","TX","Brazoria","OAK VILLAGE HEALTHCARE LTC PARTNERS, INC",1229,NA,NA,NA
"13066","TX","Brazoria","SWEENY HOUSE",945,NA,NA,NA
"13067","TX","Brazoria","THE COLONNADES AT REFLECTION BAY",2805,NA,NA,NA
"13068","TX","Brazoria","THE MEDICAL RESORT AT PEARLAND",1948,312,0,0
"13069","TX","Brazoria","TUSCANY VILLAGE",1691,NA,NA,NA
"13070","TX","Brazoria","WINCHESTER LODGE HEALTHCARE CENTER",662,NA,NA,NA
"13071","TX","Brazoria","WINDSONG CARE CENTER",2854,NA,NA,NA
"13072","TX","Brazos","ACCEL AT COLLEGE STATION",1629,NA,NA,NA
"13073","TX","Brazos","CRESTVIEW RETIREMENT COMMUNITY",415,NA,NA,NA
"13074","TX","Brazos","FORTRESS NURSING AND REHABILITATION",2186,NA,NA,NA
"13075","TX","Brazos","LAMPSTAND NURSING AND REHABILITATION",2454,NA,NA,NA
"13076","TX","Brazos","LEGACY NURSING AND REHABILITATION",1740,NA,NA,NA
"13077","TX","Brazos","ST JOSEPH MANOR",1297,NA,NA,NA
"13078","TX","Brooks","FALFURRIAS NURSING AND REHABILITATION LP",332,NA,NA,NA
"13079","TX","Brown","BANGS NURSING AND REHABILITATION CENTER",625,NA,NA,NA
"13080","TX","Brown","BROWNWOOD NURSING AND REHABILITATION LP",3153,NA,NA,NA
"13081","TX","Brown","CARE NURSING & REHABILITATION",1623,NA,NA,NA
"13082","TX","Brown","CROSS COUNTRY HEALTHCARE CENTER",2386,NA,NA,NA
"13083","TX","Brown","OAK RIDGE MANOR",2223,NA,NA,NA
"13084","TX","Brown","SENIOR CARE OF BROWNWOOD",1668,NA,NA,NA
"13085","TX","Brown","SONGBIRD LODGE",2248,NA,NA,NA
"13086","TX","Burleson","BURLESON ST JOSEPH MANOR",1998,NA,NA,NA
"13087","TX","Burleson","COPPERAS HOLLOW NURSING & REHABILITATION CENTER",1693,NA,NA,NA
"13088","TX","Burnet","BERTRAM NURSING AND REHABILITATION",1276,NA,NA,NA
"13089","TX","Burnet","GRANITE MESA HEALTH CENTER",1917,NA,NA,NA
"13090","TX","Burnet","OAKS NURSING CENTER",2571,NA,NA,NA
"13091","TX","Caldwell","CHISOLM TRAIL NURSING AND REHABILITATION CENTER",1207,NA,NA,NA
"13092","TX","Caldwell","DIVERSICARE OF LULING",1284,NA,NA,NA
"13093","TX","Caldwell","LULING CARE CENTER",307,NA,NA,NA
"13094","TX","Caldwell","MAGNOLIA LIVING AND REHABILITATION",1002,NA,NA,NA
"13095","TX","Caldwell","PARKVIEW NURSING AND REHABILITATION CENTER",1392,NA,NA,NA
"13096","TX","Calhoun","BETHANY SENIOR LIVING",2032,NA,NA,NA
"13097","TX","Calhoun","PORT LAVACA NURSING AND REHABILITATION CENTER",2325,NA,NA,NA
"13098","TX","Callahan","CLYDE NURSING CENTER",295,NA,NA,NA
"13099","TX","Callahan","HOMESTEAD NURSING AND REHABILITATION OF BAIRD",2070,NA,NA,NA
"13100","TX","Cameron","ALTA VISTA REHABILITATION AND HEALTHCARE",1022,NA,NA,NA
"13101","TX","Cameron","BROWNSVILLE NURSING AND REHABILITATION CENTER",1953,NA,NA,NA
"13102","TX","Cameron","EBONY LAKE NURSING AND REHABILITATION CENTER",2053,NA,NA,NA
"13103","TX","Cameron","FOX HOLLOW POST ACUTE",1594,NA,NA,NA
"13104","TX","Cameron","GOLDEN PALMS RETIREMENT AND HEALTH CENTER",1133,NA,NA,NA
"13105","TX","Cameron","HARLINGEN NURSING AND REHABILITATION CENTER",1390,NA,NA,NA
"13106","TX","Cameron","RETAMA MANOR NURSING CENTER/HARLINGEN",2043,NA,NA,NA
"13107","TX","Cameron","SCC AT VALLEY GRANDE",4569,520,91,0.175
"13108","TX","Cameron","SPANISH MEADOWS",1502,516,74,0.143
"13109","TX","Cameron","TREASURE HILLS HEALTHCARE AND REHABILITATION CENTE",1902,NA,NA,NA
"13110","TX","Cameron","VERANDA REHABILITATION AND HEALTHCARE",1203,NA,NA,NA
"13111","TX","Cameron","WINDSOR ATRIUM",2109,NA,NA,NA
"13112","TX","Camp","PITTSBURG NURSING CENTER",2406,NA,NA,NA
"13113","TX","Cass","FOCUSED CARE AT LINDEN",3786,NA,NA,NA
"13114","TX","Cass","GOLDEN VILLA",1684,NA,NA,NA
"13115","TX","Cass","ROSE HAVEN RETREAT",2629,NA,NA,NA
"13116","TX","Cass","THE SPRINGS",1302,NA,NA,NA
"13117","TX","Castro","CAMBRIDGE LTC PARTNERS INC",3580,NA,NA,NA
"13118","TX","Castro","CASTRO COUNTY HOSPITAL DISTRICT DBA COUNTRY VIEW L",336,NA,NA,NA
"13119","TX","Chambers","ARBORETUM NURSING AND REHABILITATION CENTER OF WIN",1751,NA,NA,NA
"13120","TX","Chambers","MONT BELVIEU REHABILITATION & HEALTHCARE CENTER",3064,NA,NA,NA
"13121","TX","Cherokee","CHEROKEE TRAILS NURSING HOME",3736,NA,NA,NA
"13122","TX","Cherokee","JACKSONVILLE HEALTHCARE CENTER",728,NA,NA,NA
"13123","TX","Cherokee","LEGACY AT JACKSONVILLE",1119,NA,NA,NA
"13124","TX","Cherokee","THE ARBORS HEALTHCARE AND REHABILITATION CENTER",2420,NA,NA,NA
"13125","TX","Cherokee","TWIN OAKS HEALTH AND REHABILITATION CENTER",2075,NA,NA,NA
"13126","TX","Cherokee","WELLS LTC PARTNERS INC",2058,NA,NA,NA
"13127","TX","Childress","CHILDRESS HEALTHCARE CENTER",3242,NA,NA,NA
"13128","TX","Clay","GRACE CARE CENTER OF HENRIETTA",1042,NA,NA,NA
"13129","TX","Coke","ROBERT LEE CARE CENTER",1186,NA,NA,NA
"13130","TX","Coleman","COLEMAN HEALTHCARE CENTER",1095,NA,NA,NA
"13131","TX","Coleman","HOLIDAY HILL INC",2122,NA,NA,NA
"13132","TX","Collin","ACCEL AT WILLOW BEND",1344,NA,NA,NA
"13133","TX","Collin","BAYBROOKE VILLAGE CARE AND REHAB CENTER",1731,NA,NA,NA
"13134","TX","Collin","BELTERRA HEALTH & REHAB",1496,NA,NA,NA
"13135","TX","Collin","CARRARA",1920,NA,NA,NA
"13136","TX","Collin","COLLINWOOD CARE CENTER",1625,NA,NA,NA
"13137","TX","Collin","FARMERSVILLE HEALTH AND REHABILITATION",1322,NA,NA,NA
"13138","TX","Collin","LANDMARK OF PLANO REHABILITATION AND NURSING CENTE",1863,NA,NA,NA
"13139","TX","Collin","LEXINGTON MEDICAL LODGE",1722,NA,NA,NA
"13140","TX","Collin","LIFE CARE CENTER OF PLANO",2714,NA,NA,NA
"13141","TX","Collin","MCKINNEY HEALTHCARE AND REHABILITATION CENTER",1456,NA,NA,NA
"13142","TX","Collin","NORTH PARK HEALTH AND REHABILITATION CENTER",2577,NA,NA,NA
"13143","TX","Collin","PARK MANOR OF MCKINNEY",2926,NA,NA,NA
"13144","TX","Collin","PRAIRIE ESTATES",1804,NA,NA,NA
"13145","TX","Collin","PRINCETON MEDICAL LODGE",3882,NA,NA,NA
"13146","TX","Collin","SETTLERS RIDGE CARE CENTER",1960,NA,NA,NA
"13147","TX","Collin","STONEMERE REHABILITATION CENTER",3411,NA,NA,NA
"13148","TX","Collin","THE BELMONT AT TWIN CREEKS",1544,NA,NA,NA
"13149","TX","Collin","THE HEALTHCARE RESORT OF PLANO",889,NA,NA,NA
"13150","TX","Collin","THE LEGACY AT WILLOW BEND",1087,NA,NA,NA
"13151","TX","Collin","THE PARK IN PLANO",1432,NA,NA,NA
"13152","TX","Collin","VICTORIA GARDENS OF ALLEN",1357,NA,NA,NA
"13153","TX","Collin","VICTORIA GARDENS OF FRISCO",2318,NA,NA,NA
"13154","TX","Collingsworth","WELLINGTON CARE CENTER",1487,NA,NA,NA
"13155","TX","Colorado","COLUMBUS OAKS HEALTHCARE COMMUNITY",3424,NA,NA,NA
"13156","TX","Colorado","EAGLE LAKE NURSING AND REHABILITATION, LP",1524,NA,NA,NA
"13157","TX","Colorado","PARKVIEW MANOR NURSING AND REHABILITATION",1560,NA,NA,NA
"13158","TX","Colorado","TRUCARE LIVING CENTERS-COLUMBUS",1399,NA,NA,NA
"13159","TX","Comal","COLONIAL MANOR CARE CENTER",1612,NA,NA,NA
"13160","TX","Comal","EDEN HOME INC",1325,NA,NA,NA
"13161","TX","Comal","KIRKWOOD MANOR",2951,NA,NA,NA
"13162","TX","Comal","LEGEND OAKS HEALTHCARE AND REHABILITATION - NEW BR",1904,NA,NA,NA
"13163","TX","Comal","SUNDANCE INN HEALTH CENTER",1498,NA,NA,NA
"13164","TX","Comal","THE HEIGHTS OF BULVERDE",1879,NA,NA,NA
"13165","TX","Comanche","DELEON NURSING AND REHABILITATION",2290,NA,NA,NA
"13166","TX","Comanche","WESTERN HILLS HEALTHCARE RESIDENCE",4140,NA,NA,NA
"13167","TX","Concho","CONCHO HEALTH & REHABILITATION CENTER",1568,NA,NA,NA
"13168","TX","Cooke","GAINESVILLE CONVALESCENT CENTER",119,NA,NA,NA
"13169","TX","Cooke","PECAN TREE REHAB AND HEALTHCARE CENTER",1919,NA,NA,NA
"13170","TX","Cooke","RENAISSANCE CARE CENTER",1886,NA,NA,NA
"13171","TX","Cooke","RIVER VALLEY HEALTH & REHABILITATION CENTER",3308,NA,NA,NA
"13172","TX","Coryell","COPPERAS COVE LTC PARTNERS INC",2427,NA,NA,NA
"13173","TX","Coryell","HILL COUNTRY REHAB AND NURSING CENTER",1247,NA,NA,NA
"13174","TX","Coryell","HILLSIDE MEDICAL LODGE",1451,NA,NA,NA
"13175","TX","Coryell","THE MEADOWS",247,NA,NA,NA
"13176","TX","Crane","CRANE NURSING & REHABILITATION CENTER",1051,NA,NA,NA
"13177","TX","Crockett","CROCKETT COUNTY CARE CENTER",1317,NA,NA,NA
"13178","TX","Crosby","CROSBYTON NURSING AND REHABILITATION CENTER",1535,NA,NA,NA
"13179","TX","Crosby","RALLS NURSING HOME",551,NA,NA,NA
"13180","TX","Dallam","COON MEMORIAL HOME",237,NA,NA,NA
"13181","TX","Dallas","ADORA MIDTOWN PARK",1380,NA,NA,NA
"13182","TX","Dallas","ADVANCED HEALTH & REHAB CENTER OF GARLAND",1567,NA,NA,NA
"13183","TX","Dallas","ASHFORD HALL",10424,NA,NA,NA
"13184","TX","Dallas","AUTUMN LEAVES",1484,NA,NA,NA
"13185","TX","Dallas","AVANTE REHABILITATION CENTER",2945,NA,NA,NA
"13186","TX","Dallas","BALCH SPRINGS NURSING HOME",2275,NA,NA,NA
"13187","TX","Dallas","BRENTWOOD PLACE FOUR",1087,731,11,0.015
"13188","TX","Dallas","BRENTWOOD PLACE ONE",552,NA,NA,NA
"13189","TX","Dallas","BRENTWOOD PLACE THREE",1598,NA,NA,NA
"13190","TX","Dallas","BRENTWOOD PLACE TWO",552,NA,NA,NA
"13191","TX","Dallas","C C YOUNG MEMORIAL HOME",1914,NA,NA,NA
"13192","TX","Dallas","CARROLLTON HEALTH AND REHABILITATION CENTER",1846,NA,NA,NA
